City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
87,sinnamary,36,GF,1533595092,96,5.38,-52.96,300.69,4.57
88,muros,75,ES,1533592800,93,42.77,-9.06,289.15,2.1
89,cape town,75,ZA,1533592800,76,-33.93,18.42,282.15,2.6
90,illintsi,20,UA,1533595093,91,49.11,29.2,289.84,1.32
91,surt,92,LY,1533595059,87,31.21,16.59,300.64,7.52
92,pyapon,100,MM,1533595093,100,16.29,95.68,297.44,6.62
93,zamora,0,ES,1533592800,38,41.51,-5.74,297.15,0.5
94,were ilu,80,ET,1533595094,91,10.6,39.43,283.79,0.62
95,nurota,0,UZ,1533592800,34,40.56,65.69,300.15,3.1
96,qaqortoq,0,GL,1533592200,51,60.72,-46.03,288.15,2.1
97,saltpond,64,GH,1533595094,81,5.2,-1.06,296.09,3.32
98,hithadhoo,44,MV,1533595095,100,-0.6,73.08,299.34,3.37
99,half moon bay,1,US,1533592800,87,37.46,-122.43,310.15,6.2
100,bull savanna,0,JM,1533595095,73,17.89,-77.59,299.74,2.67
101,grand gaube,40,MU,1533592800,64,-20.01,57.66,293.15,4.6
102,sabaudia,0,IT,1533594000,78,41.3,13.03,300.15,1.0
103,portree,88,GB,1533595095,100,57.41,-6.19,285.54,6.52
104,cap-aux-meules,40,CA,1533592800,83,47.38,-61.86,295.15,4.1
105,ponta do sol,36,BR,1533594874,97,-20.63,-46.0,288.89,1.82
106,ust-maya,68,RU,1533595096,92,60.42,134.54,287.79,1.67
107,goderich,24,CA,1533594984,83,43.74,-81.71,297.44,6.72
108,norton shores,40,US,1533593820,65,43.17,-86.26,299.15,4.6
109,tual,24,ID,1533595096,100,-5.67,132.75,297.94,4.47
110,rio grande,0,BR,1533591900,82,-32.03,-52.1,286.15,4.02
111,atar,0,MR,1533595097,42,20.52,-13.05,303.44,3.02
112,la ronge,75,CA,1533592800,42,55.1,-105.3,301.15,5.7
113,huamachuco,8,PE,1533595097,69,-7.82,-78.05,283.19,0.92
114,scalea,0,IT,1533595097,96,39.82,15.79,299.79,1.27
115,rockland,1,US,1533593700,52,42.13,-70.92,307.15,2.1
116,mandra,90,PK,1533589200,100,33.37,73.24,298.15,1.77
117,lebu,75,ET,1533592800,87,8.96,38.73,287.15,2.1
118,georgetown,75,GY,1533592800,100,6.8,-58.16,297.15,3.1
119,hambantota,20,LK,1533595099,93,6.12,81.12,300.54,8.72
120,sterling,40,US,1533593700,70,39.0,-77.4,306.15,2.1
121,dauphin,1,CA,1533592800,64,51.15,-100.04,298.15,5.1
122,salalah,75,OM,1533592200,94,17.01,54.1,298.15,2.1
123,leeton,92,AU,1533595099,88,-34.55,146.4,281.74,7.47
124,mahebourg,40,MU,1533592800,64,-20.41,57.7,293.15,4.6
125,nizhniy odes,92,RU,1533595100,98,63.64,54.86,286.94,1.12
126,ust-omchug,92,RU,1533595100,93,61.13,149.63,284.89,1.52
127,sioux lookout,90,CA,1533592800,71,50.1,-91.92,289.15,1.5
128,kattivakkam,40,IN,1533594600,62,13.22,80.32,302.15,4.1
129,kenai,75,US,1533592560,68,60.55,-151.26,292.15,7.7
130,mezen,64,RU,1533595101,82,65.85,44.24,283.59,2.62
131,hofn,88,IS,1533595101,97,64.25,-15.21,282.94,12.37
132,kedrovyy,0,RU,1533592800,100,56.17,91.82,281.15,2.52
133,koslan,80,RU,1533595101,96,63.46,48.9,287.09,1.07
134,sistranda,0,NO,1533592200,93,63.73,8.83,283.15,2.6
